movieId,n_cluster,genre
165489,0,(no genres listed)
182727,0,(no genres listed)
152037,0,(no genres listed)
156605,0,(no genres listed)
181719,0,(no genres listed)
161008,0,(no genres listed)
132084,0,(no genres listed)
159161,0,(no genres listed)
141866,0,(no genres listed)
143410,0,(no genres listed)
2890,1,Action|Adventure|Comedy|Drama|War
1240,1,Action|Sci-Fi|Thriller
7373,1,Action|Adventure|Fantasy|Horror
367,1,Action|Comedy|Crime|Fantasy
92198,1,Action|Drama|Thriller
5156,1,Action
26052,1,Crime|Drama
158874,1,Action|Drama
55290,1,Crime|Drama|Mystery
2723,1,Action|Comedy|Fantasy
1718,2,Thriller
5564,2,Thriller
112940,2,Thriller
3484,2,Thriller
162602,2,Thriller
3055,2,Thriller
240,2,Thriller
3857,2,Thriller
1892,2,Thriller
2179,2,Thriller
8906,3,Horror
7001,3,Horror|Mystery|Sci-Fi|Thriller
2652,3,Horror
1982,3,Horror
742,3,Horror|Thriller
74452,3,Horror|Thriller
1324,3,Horror
2554,3,Horror|Sci-Fi|Thriller
1128,3,Horror
33683,3,Horror|Thriller
166461,4,Adventure|Animation|Children|Comedy|Fantasy
42418,4,Adventure|Drama|Romance
4571,4,Adventure|Comedy|Sci-Fi
8580,4,Adventure|Comedy|Fantasy|Musical
49274,4,Adventure|Animation|Children|Comedy|IMAX
37857,4,Adventure|Children|Drama|Fantasy
2355,4,Adventure|Animation|Children|Comedy
118706,4,Adventure|Mystery|Thriller
4704,4,Adventure|Comedy
8965,4,Adventure|Animation|Children|Fantasy|IMAX
124853,5,Animation|Documentary
159811,5,Animation|Drama|Fantasy
167036,5,Animation|Children|Comedy
1022,5,Animation|Children|Fantasy|Musical|Romance
126577,5,Animation|Comedy|Fantasy
64285,5,Animation|Comedy
33294,5,Animation|Fantasy|Horror
27369,5,Animation|Comedy
67408,5,Animation|Sci-Fi|IMAX
3751,5,Animation|Children|Comedy
2877,6,Musical
6911,6,Musical
25797,6,Musical
6348,6,Musical
963,6,Musical
4193,6,Musical
6390,6,Musical
938,6,Musical
1035,6,Musical|Romance
6483,6,Musical|Romance
62834,7,Sci-Fi
6302,7,Sci-Fi
2311,7,Sci-Fi
119167,7,Sci-Fi|Thriller
4198,7,Sci-Fi
122627,7,Sci-Fi
8939,7,Sci-Fi|Thriller
3474,7,Sci-Fi|Thriller
26365,7,Sci-Fi|Thriller
4942,7,Sci-Fi
3786,8,Comedy
1529,8,Comedy|Drama
7085,8,Comedy|Romance
183317,8,Comedy|Drama
4184,8,Comedy|Drama|Romance
188189,8,Comedy|Fantasy|Sci-Fi
151653,8,Comedy|Drama|Fantasy
3410,8,Comedy|Drama
3948,8,Comedy
4623,8,Comedy
913,9,Film-Noir|Mystery
4496,9,Film-Noir|Mystery|Thriller
4426,9,Film-Noir
7335,9,Film-Noir
1212,9,Film-Noir|Mystery|Thriller
3706,9,Film-Noir|Horror|Mystery|Thriller
320,9,Film-Noir|Thriller
48872,9,Film-Noir|Thriller
2066,9,Film-Noir
2206,9,Film-Noir|Mystery|Thriller
32022,10,Documentary|War
127180,10,Documentary
33435,10,Documentary
3077,10,Documentary
2538,10,Documentary
134859,10,Documentary
81910,10,Documentary
165843,10,Documentary
54354,10,Documentary
41724,10,Documentary
44613,11,Drama
47793,11,Drama|Romance
160954,11,Drama|Thriller
56274,11,Drama
4708,11,Drama|Musical
1276,11,Drama
7065,11,Drama|War
48043,11,Drama|Fantasy|Romance
26048,11,Drama|War
26073,11,Drama|War
